# Created by:        SpecsLab Prodigy, Version 4.112.1-r117979 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         UTC
#
# Group:                        Gamma
#
# Region:                       WAM_110_4eV
# Spectrum ID:                  4
# Acquisition Date:             06/17/24 12:13:43 UTC
# Analysis Method:              UPS
# Analyzer Lens:                WideAngleMode:400V
# Analyzer Slit:                1:0.2x20\B:open
# Scan Mode:                    SnapshotFAT
# Scan Variable:                Kinetic Energy
# Curves/Scan:                  82
# Values/Curve:                 1
# Dwell Time:                   1
# Excitation Energy:            21.2182
# Kinetic Energy:               17.9405
# Pass Energy:                  20
# Bias Voltage:                 0
# Detector Voltage:             1450
# Eff. Workfunction:            4.3
# Source:                       UVS
# Comment:                      
# OrdinateRange:                [-11.682692, 11.971154]

# Cycle: 0
#
# Number of Scans: 300

# Cycle: 0, Curve: 0
#
# NonEnergyOrdinate:            -11.5385
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
17.952334  97.35028
17.968362  97.268431
17.984386  97.879824
18.00041  97.222552
18.016436  98.547331
18.032461  99.734173
18.048485  99.823307
18.06451  100.44307
18.080534  99.563548
18.096559  100.88443
18.112584  100.10114
18.128609  100.08728
18.144634  101.37432
18.160658  102.42115
18.176683  101.02219
18.192708  100.75014
18.208733  100.68033
18.224758  100.8069
18.240782  101.5311
18.256808  102.52526
18.272832  102.28423
18.288857  103.37063
18.304881  103.8923
18.320906  102.9824
18.336931  104.0023
18.352956  103.87438
18.368981  105.3276
18.385005  105.29268
18.40103  104.64872
18.417055  105.02634
18.43308  104.95768
18.449105  105.31257
18.465129  106.1541
18.481154  105.97121
18.497179  105.61421
18.513204  105.24676
18.529229  105.84001
18.545253  105.79309
18.561278  105.91757
18.577303  105.22824
18.593328  104.30708
18.609352  103.3795
18.625377  103.01225
18.641402  102.64766
18.657427  102.49055
18.673452  102.53478
18.689476  103.01291
18.705501  102.2214
18.721526  102.38087
18.73755  101.92181
18.753576  104.41741
18.7696  104.21781
18.785625  104.62707
18.80165  104.25751
18.817674  103.70913
18.833699  102.4609
18.849724  103.14658
18.865749  101.05848
18.881773  100.21102
18.897798  99.10582

# Cycle: 0, Curve: 3
#
